t,direccion,modelo,t_ny,hora_ny
2025-10-28 00:30:00+00:00,BUY,MEC-A,2025-10-27 20:30:00-04:00,20
2025-10-28 00:31:00+00:00,BUY,MEC-A,2025-10-27 20:31:00-04:00,20
2025-10-28 00:33:00+00:00,BUY,MEC-A,2025-10-27 20:33:00-04:00,20
2025-10-28 00:34:00+00:00,BUY,MEC-A,2025-10-27 20:34:00-04:00,20
2025-10-28 00:40:00+00:00,BUY,MEC-A,2025-10-27 20:40:00-04:00,20
2025-10-28 00:42:00+00:00,BUY,MEC-A,2025-10-27 20:42:00-04:00,20
2025-10-28 00:43:00+00:00,BUY,MEC-A,2025-10-27 20:43:00-04:00,20
2025-10-28 00:46:00+00:00,BUY,MEC-A,2025-10-27 20:46:00-04:00,20
2025-10-28 00:49:00+00:00,BUY,MEC-A,2025-10-27 20:49:00-04:00,20
2025-10-28 00:50:00+00:00,BUY,MEC-A,2025-10-27 20:50:00-04:00,20
2025-10-28 00:51:00+00:00,BUY,MEC-A,2025-10-27 20:51:00-04:00,20
2025-10-28 01:00:00+00:00,BUY,MEC-A,2025-10-27 21:00:00-04:00,21
2025-10-28 01:07:00+00:00,BUY,MEC-A,2025-10-27 21:07:00-04:00,21
2025-10-28 01:12:00+00:00,BUY,MEC-A,2025-10-27 21:12:00-04:00,21
2025-10-28 01:28:00+00:00,SELL,MEC-A,2025-10-27 21:28:00-04:00,21
2025-10-28 01:29:00+00:00,SELL,MEC-A,2025-10-27 21:29:00-04:00,21
2025-10-28 01:32:00+00:00,SELL,MEC-A,2025-10-27 21:32:00-04:00,21
2025-10-28 01:39:00+00:00,SELL,MEC-A,2025-10-27 21:39:00-04:00,21
2025-10-28 01:43:00+00:00,SELL,MEC-A,2025-10-27 21:43:00-04:00,21
2025-10-28 01:46:00+00:00,BUY,MEC-A,2025-10-27 21:46:00-04:00,21
2025-10-28 02:05:00+00:00,SELL,MEC-A,2025-10-27 22:05:00-04:00,22
2025-10-28 02:08:00+00:00,SELL,MEC-A,2025-10-27 22:08:00-04:00,22
