dir,fin_idx,resultado,dist_1_antes,dist_2_antes,dist_3_antes,dist_max,largo
-1,1984,reversion,0.29157290411601133,,,0.29157290411601133,1
1,1987,continuacion,0.7721739022670534,0.1212907042447877,0.05429498404098917,0.7721739022670534,3
1,2000,continuacion,0.6957565084904882,1.2215857299061879,1.3032213815121292,2.854516755206028,11
-1,2004,reversion,0.16370165169086365,,,0.16370165169086365,1
1,2008,reversion,0.9931477627996779,1.3387262377549618,0.87812541229997,1.3387262377549618,3
1,2012,reversion,1.0315652854914144,,,1.0315652854914144,1
-1,2017,reversion,0.81197704826706,1.1741629346837315,0.8490217616510279,1.1741629346837315,3
-1,2019,reversion,0.719012369621269,,,0.719012369621269,1
-1,2023,reversion,0.2992973941507649,,,0.2992973941507649,1
1,2026,reversion,1.148114746248317,0.9365773510219686,,1.148114746248317,2
-1,2031,continuacion,0.7551852154753566,1.8761797963289988,0.5443773326025898,1.8761797963289988,4
-1,2040,reversion,0.20041280932108713,0.7340656938328454,,0.7340656938328454,2
-1,2042,reversion,0.17212198893935873,,,0.17212198893935873,1
